Sum of Value,Column Labels,
Row Labels,Germany,Grand Total
Afghanistan,539473,539473
Albania,31183,31183
Algeria,38782,38782
Andorra,29,29
Angola,38874,38874
Antigua and Barbuda,14,14
Argentina,517,517
Armenia,55610,55610
Australia,348,348
Austria,275,275
Azerbaijan,93453,93453
Bahamas,11,11
Bahrain,253,253
Bangladesh,12261,12261
Barbados,40,40
Belarus,26789,26789
Belgium,157,157
Belize,15,15
Benin,3180,3180
Bhutan,1629,1629
Bolivia (Plurinational State of),525,525
Bosnia and Herzegovina,2022935,2022935
Botswana,58,58
Brazil,2980,2980
British Virgin Islands,0,0
Brunei Darussalam,1,1
Bulgaria,8780,8780
Burkina Faso,5076,5076
Burundi,2378,2378
Cabo Verde,78,78
Cambodia,2136,2136
Cameroon,22821,22821
Canada,1111,1111
Central African Rep.,271,271
Chad,1206,1206
Chile,6234,6234
China,61504,61504
"China, Hong Kong SAR",0,0
CÌ«te d'Ivoire,8511,8511
Colombia,4340,4340
Comoros,68,68
Congo,8745,8745
Costa Rica,145,145
Croatia,67222,67222
Cuba,5758,5758
Cyprus,11,11
Czech Rep.,22442,22442
Dem. People's Rep. of Korea,2845,2845
Dem. Rep. of the Congo,74370,74370
Denmark,37,37
Djibouti,85,85
Dominica,27,27
Dominican Rep.,786,786
Ecuador,1378,1378
Egypt,17078,17078
El Salvador,289,289
Equatorial Guinea,419,419
Eritrea,73227,73227
Estonia,2941,2941
Ethiopia,70431,70431
Fiji,26,26
Finland,29,29
France,538,538
Gabon,232,232
Gambia,9230,9230
Georgia,35195,35195
Germany,102020,102020
Ghana,38883,38883
Greece,1196,1196
Grenada,11,11
Guatemala,130,130
Guinea,15282,15282
Guinea-Bissau,1361,1361
Guyana,38,38
Haiti,472,472
Holy See (the),2,2
Honduras,262,262
Hungary,14414,14414
Iceland,76,76
India,43668,43668
Indonesia,2020,2020
Iran (Islamic Rep. of),381893,381893
Iraq,767051,767051
Ireland,35,35
Israel,4569,4569
Italy,1036,1036
Jamaica,399,399
Japan,1687,1687
Jordan,8758,8758
Kazakhstan,29686,29686
Kenya,5907,5907
Kiribati,20,20
Kuwait,1245,1245
Kyrgyzstan,18889,18889
Lao People's Dem. Rep.,2713,2713
Latvia,12102,12102
Lebanon,157275,157275
Lesotho,34,34
Liberia,6856,6856
Libya,10264,10264
Liechtenstein,1,1
Lithuania,6740,6740
Luxembourg,10,10
Madagascar,149,149
Malawi,74,74
Malaysia,689,689
Maldives,10,10
Mali,2992,2992
Malta,24,24
Mauritania,1003,1003
Mauritius,127,127
Mexico,641,641
Monaco,6,6
Mongolia,3349,3349
Montenegro,17193,17193
Morocco,26598,26598
Mozambique,1283,1283
Myanmar,9562,9562
Namibia,141,141
Nepal,5331,5331
Netherlands,421,421
New Zealand,101,101
Nicaragua,123,123
Niger,3415,3415
Nigeria,44783,44783
Norway,36,36
Oman,274,274
Pakistan,119306,119306
Palau,5,5
Palestinian,945,945
Panama,62,62
Papua New Guinea,9,9
Paraguay,217,217
Peru,3427,3427
Philippines,3018,3018
Poland,75757,75757
Portugal,237,237
Qatar,511,511
Rep. of Korea,4307,4307
Rep. of Moldova,48681,48681
Romania,28836,28836
Russian Federation,494510,494510
Rwanda,4310,4310
Saint Lucia,19,19
Saint Vincent and the Grenadines,6,6
Samoa,9,9
Sao Tome and Principe,14,14
Saudi Arabia,3178,3178
Senegal,3809,3809
Serbia and Kosovo (S/RES/1244 (1999)),1682646,1682646
Seychelles,43,43
Sierra Leone,15602,15602
Singapore,216,216
Slovakia,2929,2929
Slovenia,2348,2348
Solomon Islands,0,0
Somalia,60414,60414
South Africa,1276,1276
South Sudan,133,133
Spain,2717,2717
Sri Lanka,145208,145208
Stateless,431934,431934
Sudan,12583,12583
Suriname,13,13
Swaziland,11,11
Sweden,151,151
Switzerland,122,122
Syrian Arab Rep.,256993,256993
Tajikistan,3126,3126
Thailand,8213,8213
The former Yugoslav Republic of Macedonia,80424,80424
Togo,58316,58316
Tonga,34,34
Trinidad and Tobago,90,90
Tunisia,13523,13523
Turkey,1537693,1537693
Turkmenistan,4371,4371
Tuvalu,7,7
Uganda,4417,4417
Ukraine,365926,365926
United Arab Emirates,2434,2434
United Kingdom,299,299
United Rep. of Tanzania,576,576
United States of America,3810,3810
Uruguay,150,150
Uzbekistan,26975,26975
Various/Unknown,20116132,20116132
Venezuela (Bolivarian Republic of),606,606
Viet Nam,253723,253723
Yemen,5490,5490
Zambia,194,194
Zimbabwe,1292,1292
Grand Total,31037055,31037055
