"original address",latitude,longitude
"Afghanistan",33.93911,67.709953
"Albania",41.153332,20.168331
"Algeria",28.033886,1.659626
"Andorra",42.506285,1.521801
"Angola",-11.202692,17.873887
"Antigua and Barbuda",17.060816,-61.796428
"Argentina",-38.416097,-63.616672
"Armenia",40.069099,45.038189
"Australia",-25.274398,133.775136
"Austria",47.516231,14.550072
"Azerbaijan",40.143105,47.576927
"Bahamas",25.03428,-77.39628
"Bahrain",26.0667,50.5577
"Bangladesh",23.684994,90.356331
"Barbados",13.193887,-59.543198
"Belarus",53.709807,27.953389
"Belgium",50.503887,4.469936
"Belize",17.189877,-88.49765
"Benin",9.30769,2.315834
"Bhutan",27.514162,90.433601
"Bolivia (Plurinational State of)",,
"Bosnia and Herzegovina",43.915886,17.679076
"Botswana",-22.328474,24.684866
"Brazil",-14.235004,-51.92528
"British Virgin Islands",18.420695,-64.639968
"Brunei Darussalam",4.535277,114.727669
"Bulgaria",42.733883,25.48583
"Burkina Faso",12.238333,-1.561593
"Burundi",-3.373056,29.918886
"Cabo Verde",15.120142,-23.605172
"Cambodia",12.565679,104.990963
"Cameroon",7.369722,12.354722
"Canada",56.130366,-106.346771
"Central African Rep.",9.031519,38.732432
"Chad",15.454166,18.732207
"Chile",-35.675147,-71.542969
"China",35.86166,104.195397
"China, Hong Kong SAR",22.281757,114.156841
"CÌ«te d'Ivoire",5.378488,-3.987165
"Colombia",4.570868,-74.297333
"Comoros",-11.6455,43.3333
"Congo",-0.228021,15.827659
"Costa Rica",9.748917,-83.753428
"Croatia",45.1,15.2
"Cuba",21.521757,-77.781167
"Cyprus",35.126413,33.429859
"Czech Rep.",49.817492,15.472962
"Dem. People's Rep. of Korea",3.15574,101.729116
"Dem. Rep. of the Congo",9.007017,38.769789
"Denmark",56.26392,9.501785
"Djibouti",11.825138,42.590275
"Dominica",15.414999,-61.370976
"Dominican Rep.",18.911497,-98.411322
"Ecuador",-1.831239,-78.183406
"Egypt",26.820553,30.802498
"El Salvador",13.794185,-88.89653
"Equatorial Guinea",1.650801,10.267895
"Eritrea",15.179384,39.782334
"Estonia",58.595272,25.013607
"Ethiopia",9.145,40.489673
"Fiji",-17.713371,178.065032
"Finland",61.92411,25.748151
"France",46.227638,2.213749
"Gabon",-0.803689,11.609444
"Gambia",13.443182,-15.310139
"Georgia",32.165622,-82.900075
"Germany",51.165691,10.451526
"Ghana",7.946527,-1.023194
"Greece",39.074208,21.824312
"Grenada",12.1165,-61.679
"Guatemala",15.783471,-90.230759
"Guinea",9.945587,-9.696645
"Guinea-Bissau",11.803749,-15.180413
"Guyana",4.860416,-58.93018
"Haiti",18.971187,-72.285215
"Holy See (the)",,
"Honduras",15.199999,-86.241905
"Hungary",47.162494,19.503304
"Iceland",64.963051,-19.020835
"India",20.593684,78.96288
"Indonesia",-0.789275,113.921327
