Country,Total
Afghanistan,539473
Albania,31183
Algeria,38782
Andorra,29
Angola,38874
Antigua and Barbuda,14
Argentina,517
Armenia,55610
Australia,348
Austria,275
Azerbaijan,93453
Bahamas,11
Bahrain,253
Bangladesh,12261
Barbados,40
Belarus,26789
Belgium,157
Belize,15
Benin,3180
Bhutan,1629
Bolivia (Plurinational State of),525
Bosnia and Herzegovina,2022935
Botswana,58
Brazil,2980
British Virgin Islands,0
Brunei Darussalam,1
Bulgaria,8780
Burkina Faso,5076
Burundi,2378
Cabo Verde,78
Cambodia,2136
Cameroon,22821
Canada,1111
Central African Rep.,271
Chad,1206
Chile,6234
China,61504
"China, Hong Kong SAR",0
C’‚te d'Ivoire,8511
Colombia,4340
Comoros,68
Congo,8745
Costa Rica,145
Croatia,67222
Cuba,5758
Cyprus,11
Czech Rep.,22442
Dem. People's Rep. of Korea,2845
Dem. Rep. of the Congo,74370
Denmark,37
Djibouti,85
Dominica,27
Dominican Rep.,786
Ecuador,1378
Egypt,17078
El Salvador,289
Equatorial Guinea,419
Eritrea,73227
Estonia,2941
Ethiopia,70431
Fiji,26
Finland,29
France,538
Gabon,232
Gambia,9230
Georgia,35195
Germany,102020
Ghana,38883
Greece,1196
Grenada,11
Guatemala,130
Guinea,15282
Guinea-Bissau,1361
Guyana,38
Haiti,472
Holy See (the),2
Honduras,262
Hungary,14414
Iceland,76
India,43668
Indonesia,2020
Iran (Islamic Rep. of),381893
Iraq,767051
Ireland,35
Israel,4569
Italy,1036
Jamaica,399
Japan,1687
Jordan,8758
Kazakhstan,29686
Kenya,5907
Kiribati,20
Kuwait,1245
Kyrgyzstan,18889
Lao People's Dem. Rep.,2713
Latvia,12102
Lebanon,157275
Lesotho,34
Liberia,6856
Libya,10264
Liechtenstein,1
Lithuania,6740
Luxembourg,10
Madagascar,149
Malawi,74
Malaysia,689
Maldives,10
Mali,2992
Malta,24
Mauritania,1003
Mauritius,127
Mexico,641
Monaco,6
Mongolia,3349
Montenegro,17193
Morocco,26598
Mozambique,1283
Myanmar,9562
Namibia,141
Nepal,5331
Netherlands,421
New Zealand,101
Nicaragua,123
Niger,3415
Nigeria,44783
Norway,36
Oman,274
Pakistan,119306
Palau,5
Palestinian,945
Panama,62
Papua New Guinea,9
Paraguay,217
Peru,3427
Philippines,3018
Poland,75757
Portugal,237
Qatar,511
Rep. of Korea,4307
Rep. of Moldova,48681
Romania,28836
Russian Federation,494510
Rwanda,4310
Saint Lucia,19
Saint Vincent and the Grenadines,6
Samoa,9
Sao Tome and Principe,14
Saudi Arabia,3178
Senegal,3809
Serbia and Kosovo (S/RES/1244 (1999)),1682646
Seychelles,43
Sierra Leone,15602
Singapore,216
Slovakia,2929
Slovenia,2348
Solomon Islands,0
Somalia,60414
South Africa,1276
South Sudan,133
Spain,2717
Sri Lanka,145208
Stateless,431934
Sudan,12583
Suriname,13
Swaziland,11
Sweden,151
Switzerland,122
Syrian Arab Rep.,256993
Tajikistan,3126
Thailand,8213
The former Yugoslav Republic of Macedonia,80424
Togo,58316
Tonga,34
Trinidad and Tobago,90
Tunisia,13523
Turkey,1537693
Turkmenistan,4371
Tuvalu,7
Uganda,4417
Ukraine,365926
United Arab Emirates,2434
United Kingdom,299
United Rep. of Tanzania,576
United States of America,3810
Uruguay,150
Uzbekistan,26975
Venezuela (Bolivarian Republic of),606
Viet Nam,253723
Yemen,5490
Zambia,194
Zimbabwe,1292
