"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
1951,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",265000
1952,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",240000
1953,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",228000
1954,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",225000
1955,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",219000
1956,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",221000
1957,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",217000
1958,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",212000
1959,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",205000
1960,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",197000
1961,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",190000
1962,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",185000
1963,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",182000
1964,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",180000
1965,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",180000
1966,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",140000
1967,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",112000
1968,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",110000
1969,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",113000
1970,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",115000
1971,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",125000
1972,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",125000
1973,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",125000
1974,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",123000
1975,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",122000
1976,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",122000
1977,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",120000
1978,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",83500
1979,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",87000
1980,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",94000
1981,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",100000
1982,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",100000
1983,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",115000
1984,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",126600
1985,Germany,Stateless,"Refugees (incl. refugee-like situations)",42000
1985,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",433000
1986,Germany,Stateless,"Refugees (incl. refugee-like situations)",39300
1986,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",508600
1987,Germany,Stateless,"Refugees (incl. refugee-like situations)",37000
1987,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",559200
1988,Germany,Stateless,"Refugees (incl. refugee-like situations)",36400
1988,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",573800
1989,Germany,Stateless,"Refugees (incl. refugee-like situations)",32700
1989,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",595800
1990,Germany,Stateless,"Refugees (incl. refugee-like situations)",32000
1990,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",784000
1991,Germany,Stateless,"Refugees (incl. refugee-like situations)",28500
1991,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",793000
1992,Germany,Stateless,"Refugees (incl. refugee-like situations)",28000
1992,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",1208000
1993,Germany,Stateless,"Refugees (incl. refugee-like situations)",22000
1993,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",1396000
1994,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",350000
1994,Germany,Stateless,"Refugees (incl. refugee-like situations)",20600
1994,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",984000
1995,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",320000
1995,Germany,Cambodia,Returnees,13
1995,Germany,"Sri Lanka",Returnees,60
1995,Germany,Stateless,"Refugees (incl. refugee-like situations)",18800
1995,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",929100
1996,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",330000
1996,Germany,"Bosnia and Herzegovina",Returnees,30000
1996,Germany,Stateless,"Refugees (incl. refugee-like situations)",17000
1996,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",919000
1997,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",245000
1997,Germany,"Bosnia and Herzegovina",Returnees,95929
1997,Germany,Cambodia,Returnees,1
1997,Germany,Stateless,"Refugees (incl. refugee-like situations)",16000
1997,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",788000
1998,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",100000
1998,Germany,"Bosnia and Herzegovina",Returnees,98050
1998,Germany,Cambodia,Returnees,1
1998,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",849200
1999,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",50000
1999,Germany,"Bosnia and Herzegovina",Returnees,23500
1999,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,18283
1999,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",925500
2000,Germany,Afghanistan,Asylum-seekers,9229
2000,Germany,Angola,Asylum-seekers,187
2000,Germany,Albania,Asylum-seekers,122
2000,Germany,Armenia,Asylum-seekers,344
2000,Germany,Azerbaijan,Asylum-seekers,780
2000,Germany,Burundi,Asylum-seekers,12
2000,Germany,Benin,Asylum-seekers,10
2000,Germany,"Burkina Faso",Asylum-seekers,163
2000,Germany,Bangladesh,Asylum-seekers,125
2000,Germany,Bulgaria,Asylum-seekers,12
2000,Germany,"Bosnia and Herzegovina",Asylum-seekers,726
2000,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",30000
2000,Germany,"Bosnia and Herzegovina",Returnees,6920
2000,Germany,Belarus,Asylum-seekers,166
2000,Germany,Bhutan,Asylum-seekers,21
2000,Germany,"Central African Rep.",Asylum-seekers,9
2000,Germany,Chile,Asylum-seekers,1
2000,Germany,China,Asylum-seekers,470
2000,Germany,"Côte d'Ivoire",Asylum-seekers,92
2000,Germany,Cameroon,Asylum-seekers,234
2000,Germany,"Dem. Rep. of the Congo",Asylum-seekers,489
2000,Germany,Congo,Asylum-seekers,69
2000,Germany,Colombia,Asylum-seekers,81
2000,Germany,Cuba,Asylum-seekers,32
2000,Germany,"Czech Rep.",Asylum-seekers,22
2000,Germany,Algeria,Asylum-seekers,403
2000,Germany,Ecuador,Asylum-seekers,6
2000,Germany,Egypt,Asylum-seekers,35
2000,Germany,Eritrea,Asylum-seekers,125
2000,Germany,Spain,Asylum-seekers,1
2000,Germany,Estonia,Asylum-seekers,10
2000,Germany,Ethiopia,Asylum-seekers,187
2000,Germany,Gabon,Asylum-seekers,5
2000,Germany,Georgia,Asylum-seekers,224
2000,Germany,Ghana,Asylum-seekers,34
2000,Germany,Guinea,Asylum-seekers,50
